Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
Transverse cracks spaced 20 ft apart- Low sev,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,,
Transverse cracks spaced 20 ft apart Mod sev,AC.OL-Mill.Trans.20.Medium.png,AC.Crack_Seal.Trans.20.Medium.png,AC.OL-Mill.Trans.20.Medium.png,AC.Crack_Seal.Trans.20.Medium.png,AC.OL-Mill.Trans.20.Medium.png,AC.Crack_Seal.Trans.20.Medium.png,AC.OL-Mill.Trans.20.Medium.png,AC.Crack_Seal.Trans.20.Medium.png,,
Transverse cracks spaced 20 ft apart High sev,"AC.Crack_Seal.Trans.20.High.png,or AC.Chip-Cape.Trans.20.High.png",AC.OL-Mill.Trans.20.High.png,"AC.Crack_Seal.Trans.20.High.png, or AC.Chip-Cape.Trans.20.High.png",AC.OL-Mill.Trans.20.High.png,"AC.Crack_Seal.Trans.20.High.png, or AC.Chip-Cape.Trans.20.High.png",AC.OL-Mill.Trans.20.High.png,"AC.Crack_Seal.Trans.20.High.png, or AC.Chip-Cape.Trans.20.High.png",AC.OL-Mill.Trans.20.High.png,,
Block cracking Low severity,"Do Nothing, or AC.Chip-Cape.Block.Low.png",AC.Crack_Seal.Block.Low.png,Do Nothing,AC.Crack_Seal.Block.Low.png,Do Nothing,AC.Crack_Seal.Block.Low.png,"Do Nothing, or AC.Chip-Cape.Block.Low.png",AC.Crack_Seal.Block.Low.png,,
Block cracking Moderate severity,"Chip/Cape seal, or Asphalt Overlay/Mill+overlay",AC.Crack_Seal.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,AC.Chip-Cape.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,AC.OL-Mill.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,,
Block cracking High severity,"AC.Chip-Cape.Block.High.png, or AC.OL-Mill.Block.High.png",AC.Recon.Block.High.png,AC.Chip-Cape.Block.High.png,AC.Recon.Block.High.png,AC.Recon.Block.High.png,AC.Patch.Block.High.png,AC.OL-Mill.Block.High.png,AC.Recon.Block.High.png,,
Reflection cracking Low severity,Do Nothing,AC.Crack_Seal.Reflect.Low.png,Do Nothing,AC.Crack_Seal.Reflect.Low.png,Do Nothing,AC.Crack_Seal.Reflect.Low.png,Do Nothing,AC.Crack_Seal.Reflect.Low.png,,
Reflection cracking Mod severity,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,"AC.Chip-Cape.Reflect.Medium.png, or AC.OL-Mill.Reflect.Medium.png",AC.Crack_Seal.Reflect.Medium.png,"AC.Crack_Seal.Reflect.Medium.png, or AC.Chip-Cape.Reflect.Medium.png",AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,,
Reflection cracking High severity,AC.Patch.Reflect.High.png,AC.Recon.Reflect.High.png,AC.Patch.Reflect.High.png,AC.Recon.Reflect.High.png,AC.Patch.Reflect.High.png,AC.Recon.Reflect.High.png,AC.Patch.Reflect.High.png,AC.Recon.Reflect.High.png,,
Fatigue cracking- 10% Low severity,AC.Crack_Seal.Allig.10.Low.png,AC.Patch.Allig.10.Low.png,AC.Patch.Allig.10.Low.png,AC.Crack_Seal.Allig.10.Low.png,AC.Patch.Allig.10.Low.png,AC.Crack_Seal.Allig.10.Low.png,AC.Crack_Seal.Allig.10.Low.png,AC.Patch.Allig.10.Low.png,,
Fatigue cracking- 10%  Mod severity ,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,AC.Crack_Seal.Allig.10.Medium.png,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,,
Fatigue cracking- 10% High severity ,AC.Recon.Allig.10.High.png,AC.Patch.Allig.10.High.png,AC.Crack_Seal.Allig.10.High.png,AC.Patch.Allig.10.High.png,AC.Crack_Seal.Allig.10.High.png,AC.Patch.Allig.10.High.png,AC.OL-Mill.Allig.10.High.png,AC.Recon.Allig.10.High.png,,
Fatigue cracking- 30% Fatigue cracking Low sev,AC.Patch.Allig.30.Low.png,AC.Recon.Allig.30.Low.png,AC.OL-Mill.Allig.30.Low.png,AC.Patch.Allig.30.Low.png,AC.OL-Mill.Allig.30.Low.png,AC.Patch.Allig.30.Low.png,"AC.OL-Mill.Allig.30.Low.png, or AC.Patch.Allig.30.Low.png",AC.Recon.Allig.30.Low.png,,
Fatigue cracking- 30% Moderate sev,AC.Patch.Allig.30.Medium.png,AC.Recon.Allig.30.Medium.png,AC.OL-Mill.Allig.30.Medium.png,AC.Patch.Allig.30.Medium.png,AC.OL-Mill.Allig.30.Medium.png,AC.Patch.Allig.30.Medium.png,"AC.OL-Mill.Allig.30.Medium.png, or AC.Patch.Allig.30.Medium.png",AC.Recon.Allig.30.Medium.png,,
Fatigue cracking- 30% High sev,AC.Patch.Allig.30.High.png,AC.Recon.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Recon.Allig.30.High.png,,
Patching- 10% Low severity,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,,
Patching- 10% Moderate severity,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,,
Patching- 10%  High severity,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,,
Patching- 30% Low severity,"AC.Chip-Cape.Patch.30.Low.png, or AC.Micro-Slurry.Patch.30.Low.png",Do Nothing,AC.Crack_Seal.Patch.30.Low.png,Do Nothing,AC.Crack_Seal.Patch.30.Low.png,Do Nothing,"AC.Chip-Cape.Patch.30.Low.png, or AC.Micro-Slurry.Patch.30.Medium.png",Do Nothing,,
Patching- 30%  Moderate severity,AC.Chip-Cape.Patch.30.Medium.png,AC.OL-Mill.Patch.30.Medium.png,AC.Chip-Cape.Patch.30.Medium.png,AC.OL-Mill.Patch.30.Medium.png,AC.Chip-Cape.Patch.30.Medium.png,AC.Recon.Patch.30.Medium.png,AC.Chip-Cape.Patch.30.Medium.png,AC.OL-Mill.Patch.30.Medium.png,,
Patching- 30% High severity,"AC.OL-Mill.Patch.30.High.png, or AC.Patch.Patch.30.High.png",AC.Recon.Patch.30.High.png,AC.OL-Mill.Patch.30.High.png,AC.Recon.Patch.30.High.png,AC.OL-Mill.Patch.30.High.png,AC.Recon.Patch.30.High.png,AC.OL-Mill.Patch.30.High.png,AC.Recon.Patch.30.High.png,,
"Roughness, Long Wavelength Swells",AC.Patch.Swell.Few.png,"Do Nothing, or AC.OL-Mill.Swell.Few.png",AC.OL-Mill.Swell.Few.png,Do Nothing,AC.OL-Mill.Swell.Few.png,Do Nothing,AC.OL-Mill.Swell.Few.png,Do Nothing,,
Roughness- Many Long Wavelength Swells,AC.Recon.Swell.Many.png,AC.OL-Mill.Swell.Many.png,AC.Patch.Swell.Many.png,AC.OL-Mill.Swell.Many.png,AC.Patch.Swell.Many.png,AC.OL-Mill.Swell.Many.png,AC.Patch.Swell.Many.png,AC.OL-Mill.Swell.Many.png,,
"Roughness- No Swells, Many Short Wavelength Bumps",AC.OL-Mill.Bump.Many.png,AC.Patch.Bump.Many.png,AC.Patch.Bump.Many.png,AC.Patch.Bump.Many.png,AC.Patch.Bump.Many.png,AC.OL-Mill.Bump.Many.png,AC.Patch.Bump.Many.png,AC.OL-Mill.Bump.Many.png,,
,,,,,,,,,,
,Regional Category- Wet  Freeze Zone   RWF,,Regional Category- Dry  Freeze Zone       RDF,,Regional Category- Dry  No Freeze Zone      RDN,,Regional Category- Wet  No Freeze Zone    RWN,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
Starting to weather (losing fines),"AC.Fog-Coal.Weather.Start.png, or AC.Micro-Slurry.Weather.Start.png",AC.Rejuvenator.Weather.Start.png,Do Nothing,"AC.Fog-Coal.Weather.Start.png, or AC.Rejuvenator.Weather.Start.png, or AC.Micro-Slurry.Weather.Start.png",AC.Micro-Slurry.Weather.Start.png,AC.Rejuvenator.Weather.Start.png,AC.Fog-Coal.Weather.Start.png,AC.Rejuvenator.Weather.Start.png,,
Definitely Weathering (losing fines) ,"AC.Rejuvenator.Weather.Definite.png, or AC.Fog-Coal.Weather.Definite.png",AC.Micro-Slurry.Weather.Definite.png,AC.Micro-Slurry.Weather.Definite.png,AC.Rejuvenator.Weather.Definite.png,AC.Chip-Cape.Weather.Definite.png,AC.Fog-Coal.Weather.Definite.png,AC.Rejuvenator.Weather.Definite.png,AC.Micro-Slurry.Weather.Definite.png,,
Starting to ravel (larger rock starting to pop out),"AC.Rejuvenator.Ravel.Start.png, or AC.Fog-Coal.Ravel.Start.png",AC.Micro-Slurry.Weather.Definite.png,AC.OL-Mill.Ravel.Start.png,"AC.Micro-Slurry.Ravel.Start.png, or AC.Chip-Cape.Ravel.Start.png",AC.Chip-Cape.Ravel.Start.png,AC.Micro-Slurry.Ravel.Start.png,AC.Rejuvenator.Ravel.Start.png,AC.Micro-Slurry.Ravel.Start.png,,
Definitely raveling and losing rock,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,"AC.Micro-Slurry.Ravel.Definite.png, or AC.Chip-Cape.Ravel.Definite.png",AC.OL-Mill.Ravel.Definite.png,,
"Few longitudinal cracks or joints, Low severity",Do Nothing,AC.Crack_Seal.Long.Few.Low.png,Do Nothing,AC.Crack_Seal.Long.Few.Low.png,Do Nothing,AC.Crack_Seal.Long.Few.Low.png,Do Nothing,AC.Crack_Seal.Long.Few.Low.png,,
Few longitudinal cracks or joints Mod severity,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,AC.Crack_Seal.Long.Few.Medium.png,Do Nothing,AC.Crack_Seal.Long.Few.Medium.png,,
Few longitudinal cracks or joints- High severity,"AC.Crack_Seal.Long.Few.High.png, or AC.OL-Mill.Long.Few.High.png",AC.Patch.Long.Few.High.png,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,AC.Crack_Seal.Long.Few.High.png,AC.Patch.Long.Few.High.png,,
Many longitudinal cracks- Low sev,Do Nothing,AC.Crack_Seal.Long.Many.Low.png,Do Nothing,AC.Crack_Seal.Long.Many.Low.png,Do Nothing,AC.Crack_Seal.Long.Many.Low.png,Do Nothing,AC.Crack_Seal.Long.Many.Low.png,,
Many longitudinal cracks- Mod sev,AC.OL-Mill.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.OL-Mill.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.Crack_Seal.Long.Many.Medium.png,AC.OL-Mill.Long.Many.Medium,AC.Crack_Seal.Long.Many.Medium,,
Many longitudinal cracks- High severity,AC.OL-Mill.Long.Many.High.png,AC.Recon.Long.Many.High.png,AC.Crack_Seal.Long.Many.High.png,AC.Recon.Long.Many.High.png,AC.Crack_Seal.Long.Many.High.png,AC.OL-Mill.Long.Many.High.png,AC.Patch.Long.Many.High.png,AC.OL-Mill.Long.Many.High.png,,
A few edge cracks- Low severity,Do Nothing,AC.Crack_Seal.Edge.Low.png,AC.Crack_Seal.Edge.Low.png,Do Nothing,Do Nothing,AC.Crack_Seal.Edge.Low.png,AC.Crack_Seal.Edge.Low.png,Do Nothing,,
A few edge cracks- Moderate severity,AC.Patch.Edge.Medium.png,AC.Crack_Seal.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Crack_Seal.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Crack_Seal.Edge.Medium.png,AC.Patch.Edge.Medium.png,AC.Crack_Seal.Edge.Medium.png,,
A few edge cracks- High severity,AC.Crack_Seal.Edge.High.png,AC.Patch.Edge.High.png,AC.Patch.Edge.High.png,AC.OL-Mill.Edge.High.png,AC.Crack_Seal.Edge.High.png,AC.Patch.Edge.High.png,AC.Crack_Seal.Edge.High.png,AC.Patch.Edge.High.png,,
Transverse cracks spaced 50 ft apart Low sev,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,AC.Crack_Seal.Trans.50.Low.png,Do Nothing,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,Do Nothing,AC.Crack_Seal.Trans.50.Low.png,,
Transverse cracks spaced 50 ft apart Mod sev,"AC.Rejuvenator.Trans.50.Medium.png, or AC.Fog-Coal.Trans.50.Medium.png",AC.Crack_Seal.Trans.50.Medium.png,Do Nothing,AC.Crack_Seal.Trans.50.Medium.png,Do Nothing,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,AC.Crack_Seal.Trans.50.Medium.png,,
Transverse cracks spaced 50 ft apart High sev,AC.Crack_Seal.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.OL-Mill.Trans.50.High.png,AC.Crack_Seal.Trans.50.High.png,AC.Crack_Seal.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.Patch.Trans.50.High.png,AC.Crack_Seal.Trans.50.High.png,,
Transverse cracks spaced 20 ft apart- Low sev,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,Do Nothing,AC.Crack_Seal.Trans.20.Low.png,,
Transverse cracks spaced 20 ft apart Mod sev,AC.OL-Mill.Trans.20.Medium.png,AC.Crack_Seal.Trans.20.Medium.png,"AC.Chip-Cape.Trans.20.Medium.png, or AC.OL-Mill.Trans.20.Medium.png",AC.Crack_Seal.Trans.20.Medium.png,"AC.Crack_Seal.Trans.20.Medium.png, or AC.OL-Mill.Trans.20.Medium.png",AC.Crack_Seal.Trans.20.Medium.png,AC.OL-Mill.Trans.20.Medium.png,AC.Crack_Seal.Trans.20.Medium.png,,
Transverse cracks spaced 20 ft apart High sev,AC.Chip-Cape.Trans.20.High.png,AC.OL-Mill.Trans.20.High.png,"AC.Chip-Cape.Trans.20.High.png, or AC.OL-Mill.Trans.20.High.png",AC.Crack_Seal.Trans.20.High.png,AC.Crack_Seal.Trans.20.High.png,AC.OL-Mill.Trans.20.High.png,AC.Chip-Cape.Trans.20.High.png,AC.OL-Mill.Trans.20.High.png,,
Block cracking Low severity,Do Nothing,AC.Crack_Seal.Block.Low.png,Do Nothing,AC.Crack_Seal.Block.Low.png,Do Nothing,AC.Crack_Seal.Block.Low.png,Do Nothing,AC.Crack_Seal.Block.Low.png,,
Block cracking Moderate severity,AC.Chip-Cape.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,AC.Chip-Cape.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,AC.Chip-Cape.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,AC.OL-Mill.Block.Medium.png,AC.Crack_Seal.Block.Medium.png,,
Block cracking High severity,AC.Recon.Block.High.png,AC.OL-Mill.Block.High.png,"AC.Chip-Cape.Block.High.png, or AC.OL-Mill.Block.High.png",AC.Recon.Block.High.png,AC.Chip-Cape.Block.High.png,AC.OL-Mill.Block.High.png,AC.Recon.Block.High.png,AC.OL-Mill.Block.High.png,,
Reflection cracking Low severity,Do Nothing,AC.Crack_Seal.Reflect.Low.png,AC.Crack_Seal.Reflect.Low.png,Do Nothing,Do Nothing,AC.Crack_Seal.Reflect.Low.png,AC.Crack_Seal.Reflect.Low.png,Do Nothing,,
Reflection cracking Mod severity,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,AC.Crack_Seal.Reflect.Medium.png,,
Reflection cracking High severity,AC.Recon.Reflect.High.png,AC.Patch.Reflect.High.png,AC.Patch.Reflect.High.png,AC.Recon.Reflect.High.png,AC.Recon.Reflect.High.png,AC.Patch.Reflect.High.png,AC.Crack_Seal.Reflect.High.png,AC.Patch.Reflect.High.png,,
Fatigue cracking- 10% Low severity,AC.Patch.Allig.10.Low.png,AC.Crack_Seal.Allig.10.Low.png,AC.Patch.Allig.10.Low.png,AC.Crack_Seal.Allig.10.Low.png,Do Nothing,AC.Crack_Seal.Allig.10.Low.png,AC.Crack_Seal.Allig.10.Low.png,Do Nothing,,
Fatigue cracking- 10%  Mod severity ,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,AC.Crack_Seal.Allig.10.Medium.png,AC.Patch.Allig.10.Medium.png,,
Fatigue cracking- 10% High severity ,AC.OL-Mill.Allig.10.High.png,AC.Patch.Allig.10.High.png,AC.OL-Mill.Allig.10.High.png,AC.Patch.Allig.10.High.png,AC.Recon.Allig.10.High.png,AC.Patch.Allig.10.High.png,"AC.OL-Mill.Allig.10.High.png, or AC.Patch.Allig.10.High.png",AC.Patch.Allig.10.High.png,,
Fatigue cracking- 30% Fatigue cracking Low sev,AC.Patch.Allig.30.Low.png,AC.OL-Mill.Allig.30.Low.png,AC.OL-Mill.Allig.30.Low.png,AC.Patch.Allig.30.Low.png,AC.Patch.Allig.30.Low.png,AC.OL-Mill.Allig.30.Low.png,AC.Patch.Allig.30.Low.png,AC.OL-Mill.Allig.30.Low.png,,
Fatigue cracking- 30% Moderate sev,AC.Patch.Allig.30.Medium.png,AC.OL-Mill.Allig.30.Medium.png,AC.Patch.Allig.30.Medium.png,AC.Recon.Allig.30.Medium.png,AC.Patch.Allig.30.Medium.png,AC.OL-Mill.Allig.30.Medium.png,AC.OL-Mill.Allig.30.Medium.png,AC.Patch.Allig.30.Medium.png,,
Fatigue cracking- 30% High sev,AC.Patch.Allig.30.High.png,AC.Recon.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Recon.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Recon.Allig.30.High.png,AC.Patch.Allig.30.High.png,AC.Recon.Allig.30.High.png,,
Patching- 10% Low severity,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,Do Nothing,AC.Crack_Seal.Patch.10.Low.png,AC.Crack_Seal.Patch.10.Low.png,Do Nothing,,
Patching- 10% Moderate severity,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,AC.Crack_Seal.Patch.10.Medium.png,Do Nothing,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,AC.Crack_Seal.Patch.10.Medium.png,AC.Patch.Patch.10.Medium.png,,
Patching- 10%  High severity,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,AC.OL-Mill.Patch.10.High.png,AC.Patch.Patch.10.High.png,,
Patching- 30% Low severity,AC.Micro-Slurry.Patch.30.Low.png,Do Nothing,AC.OL-Mill.Patch.30.Low.png,Do Nothing,AC.Micro-Slurry.Patch.30.Low.png,Do Nothing,"AC.Micro-Slurry.Patch.30.Low.png, or AC.Chip-Cape.Patch.30.Low.png",Do Nothing,,
Patching- 30%  Moderate severity,AC.Chip-Cape.Patch.30.Medium.png,AC.OL-Mill.Patch.30.Medium.png,"Chip/Cape Seal, or Asphalt Overlay/Mill+overlay",AC.OL-Mill.Patch.30.Medium.png,AC.Chip-Cape.Patch.30.Medium.png,AC.OL-Mill.Patch.30.Medium.png,AC.Patch.Patch.30.Medium.png,AC.OL-Mill.Patch.30.Medium.png,,
