Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone,,National Category- Dry  Freeze Zone,,National Category- Dry  No Freeze Zone,,National Category- Wet  No Freeze Zone  NWN,,,
"Roughness- No Swells, Many Short Wavelength Bumps",Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Patch/Reconstruct area,Patch/Reconstruct area,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
,,,,,,,,,,
,Regional Category- Wet  Freeze Zone   RWF,,Regional Category- Dry  Freeze Zone       RDF,,Regional Category- Dry  No Freeze Zone      RDN,,Regional Category- Wet  No Freeze Zone    RWN,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
Starting to weather (losing fines),"Slurry/Micro, Fog/Coal tar Seal",Rejuvenator,Do Nothing,"Slurry/Micro, Fog/Coal tar Seal, Rejuvenator",Slurry/Micro,Rejuvenator,Fog/Coal tar Seal,Rejuvenator,,
Definitely Weathering (losing fines) ,"Fog/Coal Tar Seal, or Rejuvenator",Slurry/Micro,Slurry/Micro,Rejuvenator,Chip/Cape seal,Fog/Coal tar Seal,Rejuvenator,Slurry/Micro,,
Starting to ravel (larger rock starting to pop out),"Fog/Coal Tar Seal, or Rejuvenator",Slurry/Micro,Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Chip/Cape seal,Slurry/Micro,Rejuvenator,Slurry/Micro,,
Definitely raveling and losing rock,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,,
"Few longitudinal cracks or joints, Low severity",Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Few longitudinal cracks or joints Mod severity,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Few longitudinal cracks or joints- High severity,"Crack Seal/fill, or Asphalt Overlay/Mill+Overlay",Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,,
Many longitudinal cracks- Low sev,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Many longitudinal cracks- Mod sev,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Many longitudinal cracks- High severity,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Crack Seal/fill,Rehab/Reconstruct,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
A few edge cracks- Low severity,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,,
A few edge cracks- Moderate severity,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,,
A few edge cracks- High severity,Crack Seal/fill,Patch/Reconstruct area,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,,
Transverse cracks spaced 50 ft apart Low sev,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 50 ft apart Mod sev,"Rejuvenator, Fog/Coal tar Seal",Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,,
Transverse cracks spaced 50 ft apart High sev,Crack Seal/fill,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Crack Seal/fill,Patch/Reconstruct area,Patch/Reconstruct area,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart- Low sev,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart Mod sev,Asphalt Overlay/Mill+overlay,Crack Seal/fill," Chip/Cape Seal, or Asphalt overlay/Mill+ overlay",Crack Seal/fill,"Crack Seal/fill, or Asphalt overlay/Mill+overlay",Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart High sev,Chip/Cape seal,Asphalt Overlay/Mill+overlay," Chip/Cape Seal, or Asphalt overlay/Mill+ overlay",Crack Seal/fill,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Chip/Cape seal,Asphalt Overlay/Mill+overlay,,
Block cracking Low severity,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Block cracking Moderate severity,Chip/Cape seal,Crack Seal/fill,Chip/Cape seal,Crack Seal/fill,Chip/Cape seal,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Block cracking High severity,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,"Slurry/Micro,  or Chip/Cape seal, or Asphalt Overlay/Mill+overlay",Rehab/Reconstruct,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,,
Reflection cracking Low severity,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,,
Reflection cracking Mod severity,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,,
Reflection cracking High severity,Rehab/Reconstruct,Patch/Reconstruct area,Patch/Reconstruct area,Rehab/Reconstruct,Rehab/Reconstruct,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,,
Fatigue cracking- 10% Low severity,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,,
Fatigue cracking- 10%  Mod severity ,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,,
Fatigue cracking- 10% High severity ,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,"Asphalt overlay/mill+ overlay, or Patch/Reconstruct area",Patch/Reconstruct area,,
Fatigue cracking- 30% Fatigue cracking Low sev,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
Fatigue cracking- 30% Moderate sev,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Patch/Reconstruct Area,,
Fatigue cracking- 30% High sev,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,,
Patching- 10% Low severity,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,,
Patching- 10% Moderate severity,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Do Nothing,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,,
Patching- 10%  High severity,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
Patching- 30% Low severity,Slurry/Micro,Do Nothing,Asphalt Overlay/Mill+overlay,Do Nothing,Slurry/Micro,Do Nothing,"Slurry/Micro, or Chip/Cape seal",Do Nothing,,
Patching- 30%  Moderate severity,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,"Chip/Cape Seal, or Asphalt Overlay/Mill+overlay",Asphalt Overlay/Mill+overlay,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
Patching- 30% High severity,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,,
"Roughness, Long Wavelength Swells",Asphalt Overlay/Mill+overlay,Do Nothing,Do Nothing,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Do Nothing,Asphalt Overlay/Mill+overlay,Do Nothing,,
Roughness- Many Long Wavelength Swells,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,"Asphalt Overlay/Mill+overlay, or Do Nothing",Patch/Reconstruct area,,
"Roughness- No Swells, Many Short Wavelength Bumps",Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
,,,,,,,,,,
,Local Category- Wet  Freeze Zone      LWF,,Local Category- Dry  Freeze Zone      LDF,,Local Category- Dry No Freeze Zone     LDN,,Local Category- Wet  No Freeze Zone     LWN,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
Starting to weather (losing fines),Rejuvenator,Do Nothing,Rejuvenator,"Slurry/Micro, or Fog/Coal Tar Seal","Slurry/Micro, or Chip/Cape seal",Fog/Coal tar Seal,Fog/Coal tar Seal,Rejuvenator,,
Definitely Weathering (losing fines) ,Fog/Coal tar Seal,Rejuvenator,Rejuvenator,"Slurry/Micro, or Fog/Coal Tar Seal","Slurry/Micro, or Chip/Cape seal",Fog/Coal tar Seal,"Rejuvenator, or Fog/Coal tar Seal",Slurry/Micro,,
Starting to ravel (larger rock starting to pop out),Fog/Coal tar Seal,Slurry/Micro,Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Fog/Coal tar Seal","Slurry/Micro, or Chip/Cape seal",Fog/Coal tar Seal,"Rejuvenator, or Fog/Coal tar Seal",Slurry/Micro,,
Definitely raveling and losing rock,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Chip/Cape seal",Fog/Coal tar Seal,"Slurry/Micro, or Chip/Cape seal",Asphalt Overlay/Mill+overlay,,
"Few longitudinal cracks or joints, Low severity",Do Nothing,Crack Seal/fill,Rejuvenator,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Few longitudinal cracks or joints Mod severity,Crack Seal/fill,Crack Seal/fill,Fog/Coal tar Seal,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Few longitudinal cracks or joints- High severity,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,,
Many longitudinal cracks- Low sev,"Rejuvenator, or Fog/Coal Tar seal",Crack Seal/fill,"Fog/Coal Tar Seal, or Rejuvenator",Crack Seal/fill,Fog/Coal tar Seal,Chip/Cape seal,Rejuvenator,Chip/Cape seal,,
Many longitudinal cracks- Mod sev,Asphalt overlay/mill+ overlay,Crack Seal/fill,Asphalt overlay/Mill+overlay,Crack Seal/fill,"Slurry/Micro, or Fog/Coal tar Seal, or Crack Seal",Chip/Cape seal,Asphalt Overlay/Mill+overlay,Chip/Cape seal,,
Many longitudinal cracks- High severity,Rehab/Reconstruct,Asphalt overlay/mill+ overlay,Asphalt overlay/Mill+overlay,Rehab/Reconstruct,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,,
A few edge cracks- Low severity,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
A few edge cracks- Moderate severity,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Do Nothing,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,,
A few edge cracks- High severity,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Patch/Reconstruct area,Crack Seal/fill,Crack Seal/fill,Patch/Reconstruct area,,
Transverse cracks spaced 50 ft apart Low sev,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 50 ft apart Mod sev,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,,
Transverse cracks spaced 50 ft apart High sev,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
Transverse cracks spaced 20 ft apart- Low sev,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Fog/Coal tar Seal,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart Mod sev,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Crack Seal/fill,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,,
Transverse cracks spaced 20 ft apart High sev,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,,
Block cracking Low severity,Rejuvenator,Crack Seal/fill,Do Nothing,Fog/Coal Tar seal,"Do Nothing, or Crack Seal/Fill",Fog/Coal tar Seal,Do Nothing,Crack Seal/fill,,
Block cracking Moderate severity,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/Fill,Chip/Cape seal,Rejuvenator,Crack Seal/fill,,
Block cracking High severity,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+ overlay,Rehab/Reconstruct,Crack Seal/Fill,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,,
Reflection cracking Low severity,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Reflection cracking Mod severity,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,,
Reflection cracking High severity,Rehab/Reconstruct,Patch/Reconstruct area,Patch/Reconstruct area,Rehab/Reconstruct,Crack Seal/Fill,Patch/Reconstruct area,Patch/Reconstruct area,Rehab/Reconstruct,,
Fatigue cracking- 10% Low severity,Do Nothing,Crack Seal/fill,"Fog/Coal Tar Seal, or Rejuvenator",Crack Seal/fill,Crack Seal/Fill,Do Nothing,Rejuvenator,Patch/Reconstruct area,,
Fatigue cracking- 10%  Mod severity ,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,"Do Nothing, or Crack Seal/Fill",Patch/Reconstruct area,Rejuvenator,Patch/Reconstruct area,,
Fatigue cracking- 10% High severity ,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt overlay/Mill+ overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Rejuvenator,Patch/Reconstruct area,,
Fatigue cracking- 30% Fatigue cracking Low sev,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Fog/Coal tar Seal,Asphalt overlay/Mill+ overlay ,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Rejuvenator,Patch/Reconstruct area,,
Fatigue cracking- 30% Moderate sev,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt overlay/Mill+ overlay ,"Asphalt Overlay/Mill+overlay, or Patch/Reconstruct area",Rehab/Reconstruct,Rejuvenator,Patch/Reconstruct area,,
Fatigue cracking- 30% High sev,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,"Asphalt Overlay/Mill+overlay, or Patch/Reconstruct area",Rehab/Reconstruct,Patch/Reconstruct area,Rehab/Reconstruct,,
Patching- 10% Low severity,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/Fill,Do Nothing,,
Patching- 10% Moderate severity,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Do Nothing,Do Nothing,Patch/Reconstruct area,Crack Seal/Fill,Patch/Reconstruct area,,
Patching- 10%  High severity,Chip/Cape Seal,Patch/Reconstruct area,Asphalt overlay/Mill+ overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
Patching- 30% Low severity,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,"Slurry/Micro, or Chip/Cape Seal",Do Nothing,Crack Seal/Fill,Do Nothing,,
