Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone       NWF,,National Category- Dry  Freeze Zone       NDF,,National Category- Dry  No Freeze Zone     NDN,,National Category- Wet  No Freeze Zone,,,
,Regional Category- Wet  Freeze Zone     RWF,,Regional Category- Dry  Freeze Zone       RDF,,"Regional Category- Dry  No Freeze Zone         ,RDN",,"Regional Category- Wet  No Freeze Zone        ,RWN",,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
"Joint seal 5 years, still GOOD",Do Nothing,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,,
Joint Seal Low sev,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,,
Joint Seal Mod sev,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,,
Joint Seal High sev,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,,
Joint and Corner Spall Lowsev,"Do Nothing, or Partial Depth repair",Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,,
Joint and Corner Spall Mod sev,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,Partial depth repair,Crack/Joint seal,Crack/Joint seal,Partial Depth repair,,
Joint and Corner Spall High sev,Partial depth repair,Partial depth repair,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,Partial Depth repair,Partial Depth repair,,
"Mid-Panel Crack, 20% slabs, Low sev",Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"Mid-Panel Crack, 20% slabs, Mod sev",Partial depth repair,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Do Nothing,Full-depth repair (localized),,
"Mid-Panel Crack, 20% slabs, Hi sev",Full-depth repair (localized),Partial depth repair,Partial depth repair,Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Partial Depth repair,Full-depth repair (localized),,
"Mid-Panel Crack, 40% slabs, Low sev",Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Partial Depth repair,Full-depth repair (localized),,
"Mid-Panel Crack, 40% slabs,Modsev",Full-depth repair (localized),Crack/Joint seal,"Partial depth repair, or Full-depth repair (localized)",Rehab/Reconstruct,"Partial depth repair, or Full-depth repair (localized)",Crack/Joint seal,Partial Depth repair,Full-depth repair (localized),,
"Mid-Panel Crack, 40% slabs, Hi sev",Partial depth repair,Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Concrete/Asphalt overlay,,
"Corner Brk, 10% slab, Low sev",Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,,
"Corner Brk, 10% slab, Mod sev",Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Crack/Joint seal,Full-depth repair (localized),,
"Corner Brk, 10% slab, Hi  sev",Full-depth repair (localized),Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),,
"Corner Brk, 30% slab, Low sev",Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"Corner Brk, 30% slab, Mod sev",Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Crack/Joint seal,Full-depth repair (localized),,
"Corner Brk, 30% slab, Hi sev",Full-depth repair (localized),Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Full-depth repair (localized),full-depth repair (localized) or Rehab/Reconstruct,,
"10% Shattered, Low sev",Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Full-depth repair (localized),,
"10% Shattered, Mod sev",Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),,
"10% Shattered, Hi sev",Concrete/Asphalt overlay,Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),,
"30% Shattered, Low sev",Full-depth repair (localized),Crack/Joint seal,Do Nothing,Full-depth repair (localized),Do Nothing,Crack/Joint seal,Crack/Joint seal,Full-depth repair (localized),,
"30% Shattered, Mod sev",Rehab/Reconstruct,Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,,
"30% Shattered, Hi sev",Rehab/Reconstruct,Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,,
"30% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"30% slabs, Patches Med sev",Do Nothing,Partial depth repair,Full-depth repair (localized),Do Nothing,Partial depth repair,Do Nothing,Crack/Joint seal,"Do Nothing, or Partial Depth repair",,
"30% slabs, Patches Hi sev",Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial Depth repair,Full-depth repair (localized),,
"50% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"50% slabs, Patches Med sev",Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Concrete/Asphalt overlay,Full-depth repair (localized),,
"50% slabs, Patches Hi sev",Full-depth repair (localized),Rehab/Reconstruct,Concrete/Asphalt overlay,Full-depth repair (localized),Concrete/Asphalt overlay,Rehab/Reconstruct,Concrete/Asphalt overlay,Full-depth repair (localized),,
10% slabs Fault Low sev,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,,
10% slabs Fault Med sev,Crack/Joint seal,Grinding/grooving,Crack/Joint seal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Crack/Joint seal,Slab stabilization/jacking/underseal,,
10% slabs Fault Hi sev,Slab stabilization/jacking/underseal,Grinding/grooving,Crossstitching/dowelbar retrofit,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,,
30% slabs Fault Low sev,Slab stabilization/jacking/underseal,Grinding/grooving,Grinding/grooving,Do Nothing,Crack/Joint seal,Do Nothing,Slab stabilization/jacking/underseal,Do Nothing,,
30% slabs Fault Med sev,Crossstitching/dowelbar retrofit,Grinding/grooving,Grinding/grooving,Do Nothing,Slab stabilization/jacking/underseal,Grinding/grooving,Grinding/grooving,Slab stabilization/jacking/underseal,,
30% slabs Fault Hi sev,Slab stabilization/jacking/underseal,Rehab/Reconstruct,Crossstitching/dowelbar retrofit,Slab stabilization/jacking/underseal,Rehab/Reconstruct,Slab stabilization/jacking/underseal,Slab stabilization/jacking/underseal,Rehab/Reconstruct,,
,,,,,,,,,,
,"Local Category- Wet  Freeze Zone     ,LWF",,"Local Category- Dry  Freeze Zone      ,LDF",,"Local Category- Dry  No Freeze Zone        ,LDN",,"Local Category- Wet  No Freeze Zone        ,LWN",,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
"Joint seal 5 years, still GOOD",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
Joint Seal Low sev,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
Joint Seal Mod sev,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,,
Joint Seal High sev,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,,
Joint and Corner Spall Lowsev,"Partial depth repair, or Crack/Joint seal",Do Nothing,"Partial depth repair, or Crack/Joint seal",Do Nothing,"Partial depth repair, or Do Nothing",Crack/Joint seal,Crack/Joint seal,Do Nothing,,
Joint and Corner Spall Mod sev,Partial depth repair,Crack/Joint seal,Crack/Joint seal,Partial depth repair,"Crack/Joint seal, or Do Nothing",Partial depth repair,"Crack/Joint seal, or Do Nothing",Partial depth repair,,
Joint and Corner Spall High sev,Crack/Joint seal,Partial depth repair,Partial Depth repair,Partial depth repair,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,,
"Mid-Panel Crack, 20% slabs, Low sev",Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
"Mid-Panel Crack, 20% slabs, Mod sev",Crack/Joint seal,Partial depth repair,"Partial depth repair, or Full-depth repair (localized)",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
"Mid-Panel Crack, 20% slabs, Hi sev",Full-depth repair (localized),Partial depth repair,Concrete/Asphalt overlay,Crack/Joint seal,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,,
"Mid-Panel Crack, 40% slabs, Low sev",Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
"Mid-Panel Crack, 40% slabs,Modsev","Concrete/Asphalt overlay, or Partial Depth repair",Crack/Joint seal,Partial depth repair,Crack/Joint seal,Do Nothing,Crack/Joint seal,Partial Depth repair,Crack/Joint seal,,
"Mid-Panel Crack, 40% slabs, Hi sev",Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Rehab/Reconstruct,Crack/Joint seal,Rehab/Reconstruct,Crack/Joint seal,Rehab/Reconstruct,,
"Corner Brk, 10% slab, Low sev",Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,,
"Corner Brk, 10% slab, Mod sev",Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,,
"Corner Brk, 10% slab, Hi  sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),,
"Corner Brk, 30% slab, Low sev","Do Nothing, or Full-depth repair (localized)",Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
"Corner Brk, 30% slab, Mod sev",Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),"Full-depth repair, or Do Nothing",Crack/Joint seal,"Full-depth repair, or Do Nothing",Crack/Joint seal,,
"Corner Brk, 30% slab, Hi sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,,
"10% Shattered, Low sev",Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,"Full-depth repair, or Do Nothing",Crack/Joint seal,,
"10% Shattered, Mod sev",Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Do Nothing,Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),,
"10% Shattered, Hi sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Concrete/Asphalt overlay,Full-depth repair (localized),Concrete/Asphalt overlay,Full-depth repair (localized),,
"30% Shattered, Low sev",Do Nothing,Crack/Joint seal,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
"30% Shattered, Mod sev",Crack/Joint seal,Full-depth repair (localized),Concrete/Asphalt overlay,Full-depth repair (localized),"Full-depth repair, or Rehab/Reconstruct",Concrete/Asphalt overlay,Rehab/Reconstruct,Full-depth repair (localized),,
"30% Shattered, Hi sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Concrete/Asphalt overlay,Rehab/Reconstruct,Concrete/Asphalt overlay,Rehab/Reconstruct,,
"30% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"30% slabs, Patches Med sev",Do Nothing,Partial depth repair,Do Nothing,Partial Depth repair,Do Nothing,Partial depth repair,"Partial depth repair, or Do Nothing",Do Nothing,,
"30% slabs, Patches Hi sev",Partial depth repair,Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Partial depth repair,Full-depth repair (localized),"Partial depth repair, or Do Nothing",Full-depth repair (localized),,
"50% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Concrete/Asphalt overlay,Do Nothing,Do Nothing,Do Nothing,,
"50% slabs, Patches Med sev",Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Concrete/Asphalt overlay,"Concrete/Asphalt overlay, or Partial Depth repair",Full-depth repair (localized),"Concrete/Asphalt overlay, or Do Nothing",Partial depth repair,,
"50% slabs, Patches Hi sev",Partial depth repair,Full-depth repair (localized),Full-depth repair (localized),Rehab/Reconstruct,Rehab/Reconstruct,Concrete/Asphalt overlay,Rehab/Reconstruct,Concrete/Asphalt overlay,,
10% slabs Fault Low sev,Do Nothing,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Partial depth repair,,
10% slabs Fault Med sev,Do Nothing,Slab stabilization/jacking/underseal,Grinding/grooving,Partial depth repair,Slab stabilization/jacking/underseal,Do Nothing,"Slab stabilization/jacking/underseal, or Do Nothing",Partial depth repair,,
10% slabs Fault Hi sev,Full-depth repair (localized),Full-depth repair (localized),Concrete/Asphalt overlay,Partial depth repair,Slab stabilization/jacking/underseal,Crossstitching/dowelbar retrofit,Slab stabilization/jacking/underseal,Crossstitching/dowelbar retrofit,,
30% slabs Fault Low sev,Do Nothing,Do Nothing,Full-depth repair (localized),Do Nothing,Full-depth repair (localized),Do Nothing,Full-depth repair (localized),Concrete/Asphalt overlay,,
30% slabs Fault Med sev,Do Nothing,Slab stabilization/jacking/underseal,"Concrete/Asphalt overlay, or Slab stabilization/jacking/underseal",Grinding/grooving,Grinding/grooving,Concrete/Asphalt overlay,Rehab/Reconstruct,Concrete/Asphalt overlay,,
30% slabs Fault Hi sev,Full-depth repair (localized),Rehab/Reconstruct,"Concrete/Asphalt overlay, or Slab stabilization/jacking/underseal, or Grind/Groove",Rehab/Reconstruct,Concrete/Asphalt overlay,Rehab/Reconstruct,Concrete/Asphalt overlay,Rehab/Reconstruct,,
, , , , , , , , , , 
,"Basic Category- Wet  Freeze Zone       ,BWF",,Basic Category- Dry  Freeze Zone       BDF,,Basic Category- Dry  No Freeze Zone                      BDN,,"Basic Category- Wet  No Freeze Zone           ,BWN",,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
"Joint seal 5 years, still GOOD",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
Joint Seal Low sev,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Crack/Joint seal,,
Joint Seal Mod sev,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
Joint Seal High sev,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,Crack/Joint seal,,
Joint and Corner Spall Lowsev,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
Joint and Corner Spall Mod sev,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
Joint and Corner Spall High sev,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,Crack/Joint seal,Partial depth repair,Partial depth repair,Crack/Joint seal,,
"Mid-Panel Crack, 20% slabs, Low sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"Mid-Panel Crack, 20% slabs, Mod sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,,
"Mid-Panel Crack, 20% slabs, Hi sev",Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),,
"Mid-Panel Crack, 40% slabs, Low sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"Mid-Panel Crack, 40% slabs,Modsev",Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),"Crack/Joint seal, or Full-depth repair",Rehab/Reconstruct,,
"Mid-Panel Crack, 40% slabs, Hi sev",Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Rehab/Reconstruct,Full-depth repair (localized),Full-depth repair,Rehab/Reconstruct,,
"Corner Brk, 10% slab, Low sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"Corner Brk, 10% slab, Mod sev",Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,,
"Corner Brk, 10% slab, Hi  sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),,
"Corner Brk, 30% slab, Low sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"Corner Brk, 30% slab, Mod sev",Full-depth repair,Crack/Joint seal,Full-depth repair,Crack/Joint seal,Full-depth repair,Crack/Joint seal,"Full-depth repair, or Do Nothing",Crack/Joint seal,,
"Corner Brk, 30% slab, Hi sev",Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),,
"10% Shattered, Low sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Crack/Joint seal,,
"10% Shattered, Mod sev",Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Crack/Joint seal,Full-depth repair (localized),,
"10% Shattered, Hi sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Concrete/Asphalt overlay,Full-depth repair (localized),,
